field, datatype
OddNoteCarrier,
Publish,bool
Note,string

ExtentCarrier,
Portion,string
ExtentType,string
Number,string
ContainerSummary,string
PhysicalDetails,string
Dimensions,string


ArchivalObject,
ComponentID,string
Level,string
Title,string
Notes,[]Note
LangMaterials,[]LangMaterial
AccessionLinks,[]Re
RelatedAccessions,[]Ref
Dates,[]Date
Extents,[]Extent
ExternalDocuments,[]ExternalDocument
Resource,*Ref
FindingAidLanguage,string
FindingAidScript,string
Parent,*Ref
Position,int
RepositoryProcessingNote,string
EADLocation,string
Inline,[]*ArchivalObject
WithAgentLinks

Note,
JsonmodelType,string
Content,[]string
Type,string
Subnotes,[]Subnote
Publish,bool

Subnote,
JsonmodelType,string
Content,string
Publish,bool
Citation,string
EI,string

LangMaterial,
LanguageAndScript,LanguageAndScript

LanguageAndScript,
Language,string
Script,string
JsonmodelType,string

Date,
Begin,string
End,string
Label,string
DateType,string
Certainty,string
JsonmodelType,string
Expression,string

Extent,
Portion,string
ExtentType,string
Number,string
ContainerSummary,string
PhysicalDetails,string
Dimensions,string

ExternalDocument,
Title,string
Location,string

Ref,
Value,string

LinkedAgent,
Role,string
Ref,string
Relator,string




